기준연도,학교종류,설립구분,지역,상태,학교,재학생수(A),총 실수,수용가능인원(B),실수용(내국인),실수용(외국인),실수용(비학위)외국인,지원자수(동일지역),지원자수(타지역),"의무식
여부",구분,건물명,준공연도,1인실실수,1인실식비,1인실기숙사비,2인실실수,2인실식비,2인실기숙사비,3인실실수,3인실식비,3인실기숙사비,4인실실수,4인실식비,4인실기숙사비
2021,대학교,사립,경남,기존,가야대학교(김해),"2,060",88,672,197,4,0,136,202,O,직영(구내),여자 기숙사,2009,0,0,0,0,0,0,0,0,0,88,"3,500","131,250"
2021,대학교,사립,경남,기존,가야대학교(김해),"2,060",80,672,183,10,0,97,196,O,직영(구내),군자관,2003,0,0,0,0,0,0,0,0,0,80,"3,500","128,571"
2021,대학교,사립,경기,기존,가천대학교,"20,671",98,"2,383",140,0,0,0,140,X,직영(구외),의과대학 기숙사,2019,2,0,"428,571",96,0,"326,786",0,0,0,0,0,0
2021,대학교,사립,경기,기존,가천대학교,"20,671",140,"2,383",339,3,0,1,665,X,직영(구내),보건과학대학학생생활관,2015,2,0,"424,779",68,0,"292,035",61,0,"207,080",9,0,"169,912"
2021,대학교,사립,경기,기존,가천대학교,"20,671",393,"2,383",843,0,0,0,"2,153",X,직영(구내),제2학생생활관,2017,4,0,"482,737",288,0,"343,790",0,0,0,101,0,"210,105"
2021,대학교,사립,경기,기존,가천대학교,"20,671",184,"2,383",3,94,44,0,264,X,직영(구내),제1학생생활관,2007,10,0,"466,947",35,0,"328,000",0,0,0,139,0,"199,579"
2021,대학교,사립,경기,기존,가천대학교,"20,671",44,"2,383",0,0,0,0,0,X,직영(구내),강화기숙사,1998,0,0,0,0,0,0,44,0,0,0,0,0
2021,대학교,사립,경기,기존,가천대학교,"20,671",40,"2,383",25,3,4,3,29,X,직영(구외),송도BRC학생생활관,2013,0,0,0,40,0,"223,009",0,0,0,0,0,0
2021,대학교,사립,강원,기존,가톨릭관동대학교,"7,561",57,"2,602",0,0,0,0,0,X,직영(구내),제4생활관,1980,0,0,0,37,0,"143,297",20,0,"143,297",0,0,0
2021,대학교,사립,강원,기존,가톨릭관동대학교,"7,561",108,"2,602",0,0,0,0,0,X,직영(구내),제2생활관,1999,0,0,0,0,0,0,0,0,0,108,0,"155,189"
2021,대학교,사립,강원,기존,가톨릭관동대학교,"7,561",221,"2,602",219,1,0,0,220,X,직영(구내),제5생활관,2004,0,0,0,106,0,"282,730",2,0,"188,487",113,0,"188,486"
2021,대학교,사립,강원,기존,가톨릭관동대학교,"7,561",76,"2,602",0,0,0,0,0,X,직영(구내),제1생활관,1992,0,0,0,0,0,0,0,0,0,76,0,"143,297"
2021,대학교,사립,강원,기존,가톨릭관동대학교,"7,561",24,"2,602",89,0,0,0,96,O,직영(구내),다윗관,2001,0,0,0,0,0,0,0,0,0,24,"4,500","99,448"
2021,대학교,사립,강원,기존,가톨릭관동대학교,"7,561",111,"2,602",0,0,0,0,0,X,직영(구내),제3생활관,2000,0,0,0,0,0,0,0,0,0,111,0,"155,189"
2021,대학교,사립,강원,기존,가톨릭관동대학교,"7,561",166,"2,602",146,6,1,0,153,X,직영(구내),제6생활관,2008,0,0,0,71,0,"282,730",0,0,0,95,0,"188,486"
2021,대학교,사립,충북,기존,가톨릭꽃동네대학교,428,57,197,39,0,0,6,33,X,임차,마리아의 집,1996,5,0,0,42,0,"234,511",10,0,0,0,0,0
2021,대학교,사립,충북,기존,가톨릭꽃동네대학교,428,39,197,0,0,0,0,0,X,직영(구내),요셉의 집,2009,0,0,0,39,0,"234,511",0,0,0,0,0,0
2021,대학교,사립,경기,기존,가톨릭대학교,"7,418",383,"1,242",927,101,5,0,"1,328",X,직영(구내),김수환관,2009,2,0,"325,565",105,0,"325,565",152,0,"275,629",124,0,"210,243"
2021,대학교,사립,경기,기존,가톨릭대학교,"7,418",54,"1,242",38,0,0,0,38,X,행복기숙사,청년주택(개봉동),2018,33,0,"290,188",21,0,"205,757",0,0,0,0,0,0
2021,대학교,사립,서울,기존,가톨릭대학교 _제2캠퍼스,"1,538",40,80,80,0,0,0,157,X,직영(구외),가톨릭대성의기숙사,2004,0,0,0,40,0,"228,729",0,0,0,0,0,0
2021,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,295,4,306,26,0,0,23,3,O,임차,양업관,1983,0,0,0,0,0,0,0,0,0,4,"2,800",0
2021,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,295,60,306,37,4,0,27,14,O,임차,수덕관,1991,60,"2,800",0,0,0,0,0,0,0,0,0,0
2021,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,295,60,306,52,0,0,40,12,O,임차,강학관,1991,60,"2,800",0,0,0,0,0,0,0,0,0,0
2021,대학교,사립,서울,기존,가톨릭대학교 _제3캠퍼스,295,150,306,78,1,0,56,23,O,직영(구내),대건관,1980,150,"2,800",0,0,0,0,0,0,0,0,0,0
2021,대학교,사립,서울,기존,감리교신학대학교,"1,327",150,300,144,5,0,0,149,X,직영(구내),장천생활관,2001,0,0,0,150,0,"202,703",0,0,0,0,0,0
2021,대학교,사립,경기,기존,강남대학교,"6,780",118,940,9,14,1,0,111,X,직영(구내),심전생활관 1관,1996,0,0,0,0,0,0,0,0,0,118,0,"159,487"
2021,대학교,사립,경기,기존,강남대학교,"6,780",234,940,22,0,0,2,304,X,직영(구내),콤플렉스센터(심전2관 기숙사),2007,0,0,0,234,0,"292,821",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교,"5,802",33,"1,532",0,65,0,0,0,O,직영(구내),국제교류관,2012,1,"2,000","320,000",32,"2,000","230,811",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교,"5,802",108,"1,532",216,0,0,0,0,O,직영(구내),명진관,2007,0,0,0,108,"2,000","189,189",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교,"5,802",392,"1,532",780,0,0,0,708,O,민자(BTL),율곡.사임당관,2009,4,"2,000","278,378",388,"2,000","189,189",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교,"5,802",35,"1,532",70,0,0,0,0,O,직영(구내),이문관,1996,0,0,0,35,"2,000","129,730",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교,"5,802",10,"1,532",20,0,0,0,0,O,민자(BTL),솔향관(기혼자실),2016,0,0,0,10,"2,000","320,000",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교,"5,802",192,"1,532",381,0,0,0,20,O,민자(BTL),솔향관,2016,3,"2,000","320,000",189,"2,000","230,811",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,"2,132",86,625,172,0,0,0,82,O,직영(구내),청송관,2002,0,0,0,86,"2,000","177,911",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,"2,132",77,625,157,0,0,0,0,O,직영(구내),예솔관,1989,1,"2,000","163,511",76,"2,000","163,511",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강릉원주대학교 _제2캠퍼스,"2,132",151,625,298,2,0,0,225,O,민자(BTL),해솔관,2017,2,"2,000","241,811",149,"2,000","241,811",0,0,0,0,0,0
2021,대학교,사립,서울,기존,강서대학교,"1,654",32,96,24,0,0,5,38,X,직영(구내),진리관,1990,0,0,0,0,0,0,32,0,"169,565",0,0,0
2021,대학교,국립,강원,기존,강원대학교,"15,464",52,"4,386",61,0,0,0,61,X,직영(구내),율곡관,1983,0,0,0,52,0,"153,106",0,0,0,0,0,0
2021,대학교,국립,강원,기존,강원대학교,"15,464",95,"4,386",0,0,0,285,0,X,직영(구내),퇴계관,1986,0,0,0,0,0,0,95,0,"117,993",0,0,0
