일자,요일,배출량,배출량비율,배출횟수,배출횟수비율,영역코드,시도명,시군구명
2019-01-01,3,258000,3.47,188,3.35,W0Q,부산광역시,중구
2019-01-02,4,273050,3.68,200,3.56,W0Q,부산광역시,중구
2019-01-03,5,254300,3.42,196,3.49,W0Q,부산광역시,중구
2019-01-04,6,241150,3.25,182,3.24,W0Q,부산광역시,중구
2019-01-05,7,234750,3.16,192,3.42,W0Q,부산광역시,중구
2019-01-06,1,235300,3.17,168,2.99,W0Q,부산광역시,중구
2019-01-07,2,295550,3.98,212,3.77,W0Q,부산광역시,중구
2019-01-08,3,238400,3.21,199,3.54,W0Q,부산광역시,중구
2019-01-09,4,201750,2.72,165,2.94,W0Q,부산광역시,중구
2019-01-10,5,238550,3.21,175,3.11,W0Q,부산광역시,중구
2019-01-11,6,195000,2.63,180,3.2,W0Q,부산광역시,중구
2019-01-12,7,136950,1.84,104,1.85,W0Q,부산광역시,중구
2019-01-13,1,253450,3.41,186,3.31,W0Q,부산광역시,중구
2019-01-14,2,274750,3.7,197,3.51,W0Q,부산광역시,중구
2019-01-15,3,172450,2.32,123,2.19,W0Q,부산광역시,중구
2019-01-16,4,209900,2.83,165,2.94,W0Q,부산광역시,중구
2019-01-17,5,228700,3.08,178,3.17,W0Q,부산광역시,중구
2019-01-18,6,248650,3.35,183,3.26,W0Q,부산광역시,중구
2019-01-19,7,255200,3.44,191,3.4,W0Q,부산광역시,중구
2019-01-20,1,242900,3.27,172,3.06,W0Q,부산광역시,중구
2019-01-21,2,269200,3.63,206,3.67,W0Q,부산광역시,중구
2019-01-22,3,265850,3.58,209,3.72,W0Q,부산광역시,중구
2019-01-23,4,210350,2.83,179,3.19,W0Q,부산광역시,중구
2019-01-24,5,280100,3.77,184,3.27,W0Q,부산광역시,중구
2019-01-25,6,218500,2.94,186,3.31,W0Q,부산광역시,중구
2019-01-26,7,263200,3.54,204,3.63,W0Q,부산광역시,중구
2019-01-27,1,200800,2.7,126,2.24,W0Q,부산광역시,중구
2019-01-28,2,248750,3.35,185,3.29,W0Q,부산광역시,중구
2019-01-29,3,271650,3.66,204,3.63,W0Q,부산광역시,중구
2019-01-30,4,277050,3.73,212,3.77,W0Q,부산광역시,중구
2019-01-31,5,230650,3.11,169,3.01,W0Q,부산광역시,중구
2019-02-01,6,266850,3.35,203,3.53,W0Q,부산광역시,중구
2019-02-02,7,353550,4.44,245,4.26,W0Q,부산광역시,중구
2019-02-03,1,393400,4.94,241,4.19,W0Q,부산광역시,중구
2019-02-04,2,559900,7.03,365,6.34,W0Q,부산광역시,중구
2019-02-05,3,354650,4.45,222,3.86,W0Q,부산광역시,중구
2019-02-06,4,367500,4.62,238,4.14,W0Q,부산광역시,중구
2019-02-07,5,284100,3.57,216,3.75,W0Q,부산광역시,중구
2019-02-08,6,219600,2.76,161,2.8,W0Q,부산광역시,중구
2019-02-09,7,326950,4.11,216,3.75,W0Q,부산광역시,중구
2019-02-10,1,281200,3.53,203,3.53,W0Q,부산광역시,중구
2019-02-11,2,260100,3.27,196,3.41,W0Q,부산광역시,중구
2019-02-12,3,226500,2.84,169,2.94,W0Q,부산광역시,중구
2019-02-13,4,256150,3.22,189,3.28,W0Q,부산광역시,중구
2019-02-14,5,252100,3.17,196,3.41,W0Q,부산광역시,중구
2019-02-15,6,258850,3.25,179,3.11,W0Q,부산광역시,중구
2019-02-16,7,277900,3.49,193,3.35,W0Q,부산광역시,중구
2019-02-17,1,223850,2.81,176,3.06,W0Q,부산광역시,중구
2019-02-18,2,314950,3.96,226,3.93,W0Q,부산광역시,중구
2019-02-19,3,246200,3.09,162,2.82,W0Q,부산광역시,중구
2019-02-20,4,244500,3.07,204,3.55,W0Q,부산광역시,중구
2019-02-21,5,219600,2.76,172,2.99,W0Q,부산광역시,중구
2019-02-22,6,227350,2.86,197,3.42,W0Q,부산광역시,중구
2019-02-23,7,234250,2.94,179,3.11,W0Q,부산광역시,중구
2019-02-24,1,255300,3.21,196,3.41,W0Q,부산광역시,중구
2019-02-25,2,323500,4.06,219,3.81,W0Q,부산광역시,중구
2019-02-26,3,253800,3.19,202,3.51,W0Q,부산광역시,중구
2019-02-27,4,234150,2.94,198,3.44,W0Q,부산광역시,중구
2019-02-28,5,245750,3.09,191,3.32,W0Q,부산광역시,중구
2019-03-01,6,274200,3.81,198,3.5,W0Q,부산광역시,중구
2019-03-02,7,268950,3.74,214,3.79,W0Q,부산광역시,중구
2019-03-03,1,288100,4.01,210,3.71,W0Q,부산광역시,중구
2019-03-04,2,258550,3.6,204,3.61,W0Q,부산광역시,중구
2019-03-05,3,224350,3.12,182,3.22,W0Q,부산광역시,중구
2019-03-06,4,211600,2.94,181,3.2,W0Q,부산광역시,중구
2019-03-07,5,215300,3.0,165,2.92,W0Q,부산광역시,중구
2019-03-08,6,199700,2.78,174,3.08,W0Q,부산광역시,중구
2019-03-09,7,275450,3.83,192,3.4,W0Q,부산광역시,중구
2019-03-10,1,234350,3.26,154,2.72,W0Q,부산광역시,중구
2019-03-11,2,300000,4.17,217,3.84,W0Q,부산광역시,중구
2019-03-12,3,216550,3.01,182,3.22,W0Q,부산광역시,중구
2019-03-13,4,202900,2.82,166,2.94,W0Q,부산광역시,중구
2019-03-14,5,239150,3.33,185,3.27,W0Q,부산광역시,중구
2019-03-15,6,223150,3.1,172,3.04,W0Q,부산광역시,중구
2019-03-16,7,230850,3.21,191,3.38,W0Q,부산광역시,중구
2019-03-17,1,242900,3.38,174,3.08,W0Q,부산광역시,중구
2019-03-18,2,266050,3.7,204,3.61,W0Q,부산광역시,중구
2019-03-19,3,165050,2.3,131,2.32,W0Q,부산광역시,중구
